Country or Area,Year,Area,Sex,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2019,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3213,
United States of America,2019,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,1789,
United States of America,2019,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1424,
United States of America,2018,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3316,
United States of America,2018,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,1881,
United States of America,2018,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1435,
United States of America,2017,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3441,
United States of America,2017,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,1893,
United States of America,2017,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1548,
United States of America,2016,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3541,
United States of America,2016,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,1981,
United States of America,2016,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1560,
United States of America,2015,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3596,
United States of America,2015,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,2023,
United States of America,2015,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1573,
United States of America,2014,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3519,
United States of America,2014,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,1959,
United States of America,2014,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1560,
United States of America,2013,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3639,
United States of America,2013,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,2109,
United States of America,2013,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1530,
United States of America,2012,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3577,
United States of America,2012,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,2036,
United States of America,2012,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1541,
United States of America,2011,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3684,
United States of America,2011,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,2028,
United States of America,2011,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1656,
United States of America,2010,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,3803,
United States of America,2010,Rural,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,2085,
United States of America,2010,Rural,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,1718,
United States of America,1968,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1973,33513,
United States of America,1967,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1971,34687,
United States of America,1966,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,37713,
United States of America,1965,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,41542,
United States of America,1964,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,44732,
United States of America,1963,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,38180,
United States of America,1962,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,38652,
United States of America,1961,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,39736,
United States of America,1960,Rural,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,41241,
United States of America,2019,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,17708,
United States of America,2019,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,9885,
United States of America,2019,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,7823,
United States of America,2018,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,18151,
United States of America,2018,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,10187,
United States of America,2018,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,7964,
United States of America,2017,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,18894,
United States of America,2017,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,10575,
United States of America,2017,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,8319,
United States of America,2016,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,19620,
United States of America,2016,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,10886,
United States of America,2016,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,8734,
United States of America,2015,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,19859,
United States of America,2015,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,10985,
United States of America,2015,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,8874,
United States of America,2014,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,19696,
United States of America,2014,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,10927,
United States of America,2014,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,8769,
United States of America,2013,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,19801,
United States of America,2013,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,11010,
United States of America,2013,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,8791,
United States of America,2012,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,20052,
United States of America,2012,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,11103,
United States of America,2012,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,8949,
United States of America,2011,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,20301,
United States of America,2011,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,11299,
United States of America,2011,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,9002,
United States of America,2010,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",2021,20783,
United States of America,2010,Urban,Male,Data tabulated by year of occurrence,"Final figure, complete",2021,11617,
United States of America,2010,Urban,Female,Data tabulated by year of occurrence,"Final figure, complete",2021,9166,
United States of America,1968,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1973,42750,
United States of America,1967,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1971,44341,
United States of America,1966,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,47803,
United States of America,1965,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,51324,
United States of America,1964,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,55051,
United States of America,1963,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,65210,
United States of America,1962,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,66827,
United States of America,1961,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,68220,
United States of America,1960,Urban,Both Sexes,Data tabulated by year of occurrence,"Final figure, complete",1966,69632,
